Namespace(batch_size=100, dataset='ogbn-mag', dgl_sparse=False, dropout=0.7, eval_batch_size=32, fanout='4, 4', gpu='0', l2norm=0, layer_norm=False, low_mem=False, lr=0.01, n_bases=2, n_epochs=2, n_hidden=16, n_layers=2, node_feats=False, num_workers=1, sparse_lr=0.02, use_self_loop=False, validation=False)
Number of relations: 8
Number of class: 349
Number of train: 629571
Number of valid: 64879
Number of test: 41939
0:author
1:field_of_study
2:institution
3:paper
start training...
Using backend: pytorch
Train Accuracy: 0.0300 | Train Loss: 5.1758
Train Accuracy: 0.0800 | Train Loss: 4.9543
Train Accuracy: 0.0500 | Train Loss: 4.8935
Train Accuracy: 0.0100 | Train Loss: 5.2314
Train Accuracy: 0.0600 | Train Loss: 5.0921
Train Accuracy: 0.0600 | Train Loss: 4.9813
Train Accuracy: 0.0600 | Train Loss: 5.2403
Train Accuracy: 0.0100 | Train Loss: 5.1692
Train Accuracy: 0.0400 | Train Loss: 5.0204
Train Accuracy: 0.0500 | Train Loss: 4.8664
Train Accuracy: 0.0700 | Train Loss: 5.0640
Train Accuracy: 0.0400 | Train Loss: 5.1359
Train Accuracy: 0.0300 | Train Loss: 4.9908
Train Accuracy: 0.0500 | Train Loss: 4.8154
Train Accuracy: 0.0900 | Train Loss: 4.9480
Train Accuracy: 0.0400 | Train Loss: 5.3172
Train Accuracy: 0.0500 | Train Loss: 4.9625
Train Accuracy: 0.0700 | Train Loss: 4.9517
Train Accuracy: 0.0600 | Train Loss: 4.8496
Train Accuracy: 0.0400 | Train Loss: 4.9722
Train Accuracy: 0.0600 | Train Loss: 5.1012
Train Accuracy: 0.0400 | Train Loss: 4.9764
Train Accuracy: 0.0200 | Train Loss: 4.8156
Train Accuracy: 0.0600 | Train Loss: 5.3655
Train Accuracy: 0.0200 | Train Loss: 5.0017
Train Accuracy: 0.0700 | Train Loss: 4.8656
Train Accuracy: 0.0500 | Train Loss: 5.2031
Train Accuracy: 0.0500 | Train Loss: 4.9323
Train Accuracy: 0.0300 | Train Loss: 5.0223
Train Accuracy: 0.0100 | Train Loss: 5.0542
Train Accuracy: 0.0900 | Train Loss: 4.8543
Train Accuracy: 0.0500 | Train Loss: 5.1487
Train Accuracy: 0.0300 | Train Loss: 4.8489
Train Accuracy: 0.0100 | Train Loss: 5.0735
Train Accuracy: 0.0500 | Train Loss: 5.1752
Train Accuracy: 0.0300 | Train Loss: 5.2050
Train Accuracy: 0.0300 | Train Loss: 5.1672
Train Accuracy: 0.0400 | Train Loss: 5.0660
Train Accuracy: 0.0400 | Train Loss: 5.2777
Train Accuracy: 0.0300 | Train Loss: 5.1373
Train Accuracy: 0.0400 | Train Loss: 5.0775
Train Accuracy: 0.0400 | Train Loss: 5.0803
Train Accuracy: 0.0400 | Train Loss: 5.0957
Train Accuracy: 0.0400 | Train Loss: 5.0827
Train Accuracy: 0.0500 | Train Loss: 5.1208
Train Accuracy: 0.0300 | Train Loss: 4.9990
Train Accuracy: 0.0400 | Train Loss: 4.9008
Train Accuracy: 0.0300 | Train Loss: 5.0815
Train Accuracy: 0.0300 | Train Loss: 5.1221
Train Accuracy: 0.0500 | Train Loss: 4.9299
Train Accuracy: 0.0400 | Train Loss: 4.9693
Train Accuracy: 0.0600 | Train Loss: 4.8163
Train Accuracy: 0.0900 | Train Loss: 4.9041
Train Accuracy: 0.0800 | Train Loss: 4.9777
Train Accuracy: 0.0800 | Train Loss: 5.0124
Train Accuracy: 0.0800 | Train Loss: 4.8485
Train Accuracy: 0.0500 | Train Loss: 4.9952
Train Accuracy: 0.0500 | Train Loss: 4.8138
Train Accuracy: 0.0600 | Train Loss: 4.8799
Train Accuracy: 0.0700 | Train Loss: 5.2375
Train Accuracy: 0.0900 | Train Loss: 5.1185
Train Accuracy: 0.0500 | Train Loss: 5.1984
Train Accuracy: 0.0300 | Train Loss: 5.4015
Train Accuracy: 0.0300 | Train Loss: 5.0422
Train Accuracy: 0.0500 | Train Loss: 5.0741
Train Accuracy: 0.0500 | Train Loss: 4.9675
Train Accuracy: 0.1200 | Train Loss: 4.6286
Train Accuracy: 0.0800 | Train Loss: 5.0768
Train Accuracy: 0.0300 | Train Loss: 5.0740
Train Accuracy: 0.0500 | Train Loss: 4.8420
Train Accuracy: 0.0600 | Train Loss: 5.2206
Train Accuracy: 0.0200 | Train Loss: 5.1160
Train Accuracy: 0.0100 | Train Loss: 4.9580
Train Accuracy: 0.0500 | Train Loss: 4.9878
Train Accuracy: 0.0300 | Train Loss: 4.8378
Train Accuracy: 0.0700 | Train Loss: 5.0939
Train Accuracy: 0.0400 | Train Loss: 4.8325
Train Accuracy: 0.0200 | Train Loss: 5.1608
Train Accuracy: 0.0200 | Train Loss: 5.1065
Train Accuracy: 0.0900 | Train Loss: 4.9565
Train Accuracy: 0.0700 | Train Loss: 5.2587
Train Accuracy: 0.0600 | Train Loss: 5.1958
Train Accuracy: 0.0100 | Train Loss: 5.0578
Train Accuracy: 0.0300 | Train Loss: 5.0317
Train Accuracy: 0.0600 | Train Loss: 4.8848
Train Accuracy: 0.0600 | Train Loss: 4.9798
Train Accuracy: 0.1000 | Train Loss: 5.0450
Train Accuracy: 0.0300 | Train Loss: 4.9319
Train Accuracy: 0.0400 | Train Loss: 5.0839
Train Accuracy: 0.0700 | Train Loss: 5.0252
Train Accuracy: 0.0600 | Train Loss: 4.9915
Train Accuracy: 0.0600 | Train Loss: 5.1944
Train Accuracy: 0.0700 | Train Loss: 5.0791
Train Accuracy: 0.0600 | Train Loss: 4.8860
Train Accuracy: 0.0500 | Train Loss: 5.0914
Train Accuracy: 0.0400 | Train Loss: 5.0393
Train Accuracy: 0.0500 | Train Loss: 5.2030
Train Accuracy: 0.0500 | Train Loss: 5.3613
Train Accuracy: 0.0300 | Train Loss: 5.0791
Train Accuracy: 0.0300 | Train Loss: 4.9537
Train Accuracy: 0.0500 | Train Loss: 4.7771
Train Accuracy: 0.0700 | Train Loss: 4.9865
Train Accuracy: 0.0300 | Train Loss: 5.0836
Train Accuracy: 0.0500 | Train Loss: 5.0404
Train Accuracy: 0.0600 | Train Loss: 5.0004
Train Accuracy: 0.0300 | Train Loss: 5.0910
Train Accuracy: 0.0800 | Train Loss: 4.9098
Train Accuracy: 0.1000 | Train Loss: 4.7952
Train Accuracy: 0.0400 | Train Loss: 5.0821
Train Accuracy: 0.0800 | Train Loss: 5.0430
Train Accuracy: 0.0500 | Train Loss: 4.9634
Train Accuracy: 0.0700 | Train Loss: 5.0326
Train Accuracy: 0.0700 | Train Loss: 4.9038
Train Accuracy: 0.0300 | Train Loss: 5.1593
Train Accuracy: 0.0300 | Train Loss: 4.6782
Train Accuracy: 0.0300 | Train Loss: 5.1332
Train Accuracy: 0.0600 | Train Loss: 4.9807
Train Accuracy: 0.0600 | Train Loss: 5.0248
Train Accuracy: 0.0400 | Train Loss: 4.9980
Train Accuracy: 0.0200 | Train Loss: 4.9584
Train Accuracy: 0.1000 | Train Loss: 5.0567
Train Accuracy: 0.0500 | Train Loss: 4.9494
Train Accuracy: 0.0600 | Train Loss: 4.9922
Train Accuracy: 0.0600 | Train Loss: 4.8982
Train Accuracy: 0.0900 | Train Loss: 4.7862
Train Accuracy: 0.0300 | Train Loss: 4.9943
Train Accuracy: 0.0400 | Train Loss: 5.0810
Train Accuracy: 0.0600 | Train Loss: 4.8524
Train Accuracy: 0.0700 | Train Loss: 4.9780
Train Accuracy: 0.0700 | Train Loss: 4.9182
Train Accuracy: 0.1000 | Train Loss: 5.2076
Train Accuracy: 0.0700 | Train Loss: 5.0479
Train Accuracy: 0.0600 | Train Loss: 4.7899
Train Accuracy: 0.0400 | Train Loss: 4.9903
Train Accuracy: 0.0800 | Train Loss: 4.8487
Train Accuracy: 0.0600 | Train Loss: 5.1304
Train Accuracy: 0.0400 | Train Loss: 5.1302
Train Accuracy: 0.0900 | Train Loss: 4.6767
Train Accuracy: 0.0500 | Train Loss: 5.1158
Train Accuracy: 0.0500 | Train Loss: 5.0329
Train Accuracy: 0.0500 | Train Loss: 5.0268
Train Accuracy: 0.0400 | Train Loss: 5.1509
Train Accuracy: 0.0300 | Train Loss: 5.1941
Train Accuracy: 0.0800 | Train Loss: 5.1889
Train Accuracy: 0.0900 | Train Loss: 4.7645
Train Accuracy: 0.0500 | Train Loss: 4.8933
Train Accuracy: 0.0500 | Train Loss: 5.1214
Train Accuracy: 0.0400 | Train Loss: 5.1563
Train Accuracy: 0.1300 | Train Loss: 4.8129
Train Accuracy: 0.0400 | Train Loss: 5.0514
Train Accuracy: 0.1200 | Train Loss: 4.9948
Train Accuracy: 0.0700 | Train Loss: 5.0650
Train Accuracy: 0.0500 | Train Loss: 4.8676
Train Accuracy: 0.0700 | Train Loss: 5.0010
Train Accuracy: 0.0800 | Train Loss: 5.1616
Train Accuracy: 0.0300 | Train Loss: 4.7818
Train Accuracy: 0.0400 | Train Loss: 4.9991
Train Accuracy: 0.0800 | Train Loss: 5.0223
Train Accuracy: 0.0600 | Train Loss: 4.9935
Train Accuracy: 0.0300 | Train Loss: 4.7224
Train Accuracy: 0.0800 | Train Loss: 4.7518
Train Accuracy: 0.0700 | Train Loss: 4.9548
Train Accuracy: 0.1000 | Train Loss: 4.7717
Train Accuracy: 0.0400 | Train Loss: 4.8351
Train Accuracy: 0.0500 | Train Loss: 5.1573
Train Accuracy: 0.0700 | Train Loss: 4.8109
Train Accuracy: 0.0400 | Train Loss: 4.9672
Train Accuracy: 0.0900 | Train Loss: 4.8000
Train Accuracy: 0.0800 | Train Loss: 5.0115
Train Accuracy: 0.0400 | Train Loss: 4.9337
Train Accuracy: 0.0900 | Train Loss: 5.0753
Train Accuracy: 0.0800 | Train Loss: 4.8627
Train Accuracy: 0.0500 | Train Loss: 4.8829
Train Accuracy: 0.0700 | Train Loss: 4.9053
Train Accuracy: 0.0000 | Train Loss: 5.1772
Train Accuracy: 0.1000 | Train Loss: 4.6921
